,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
2302,0,1.8,68,0.970874,0.970874,38.94,9.70874,9034,0.0,1.94175,0.0,0,12.8,Mother Lode Adventist Junior Academy,86.4078,2016,
2303,116,13.4,100,2.02,0.74,37.77,17.87,7409,3.19,1.81,0.74,3.6,3.9,Sonora High School,73.62,2016,
2304,0,13.4,100,4.76,0.0,80.95,14.29,14351,4.76,4.76,4.76,0,0,Tuolumne County Community/Isp School,66.67,2016,
2305,0,13.4,100,0.0,0.0,90.0,21.67,12507,10.0,5.0,3.33,4.5,22.4,Tuolumne County Special Education School,60.0,2016,
2306,354,33.8,933,10.17,1.65,24.81,40.45,7652,3.43,0.25,0.33,4.2,2,Adolfo Camarillo High School,43.71,2016,
2307,8,0,933,1.61,7.53,53.23,40.32,25344,4.3,0.0,0.54,40.9,0.9,"Architecture, Construction & Engineering Charter High (Ace)",45.7,2016,
2308,8,0,933,10.19,1.05,6.15,16.87,17594,9.14,0.18,0.18,59.1,1,Camarillo Academy of Progressive Education,62.39,2016,
2309,2,0,933,1.44,2.16,64.9,89.9,7654,0.48,0.48,0.0,30.2,2.4,Frontier High School,5.53,2016,
2310,0,0,933,0.0,2.5,90.0,83.75,14413,1.25,0.0,0.0,44.4,0,Gateway Community School,12.5,2016,
2311,0,0,933,11.59,2.03,8.41,34.49,32250,3.77,0.0,0.0,44.4,0,Rancho Campana High,48.12,2016,
2312,0,0,933,6.08,2.43,51.56,51.22,12501,4.34,0.35,0.17,14.1,0,Ventura County Special Education School,35.42,2016,
2313,69,23,146,0.2,0.2,73.01,89.0,7606,0.61,0.31,0.0,10.6,2.5,Fillmore Senior High School,9.67,2016,
2314,69,0,146,0.0,4.17,70.83,62.5,25584,0.0,4.17,0.0,10.6,2.5,Heritage Valley Independent Study,29.17,2016,
2315,0,0,146,0.0,0.0,77.61,94.03,7605,0.0,0.0,0.0,17.2,2.2,Sierra High School,5.97,2016,
2316,0,0,146,1.69,1.69,44.07,72.88,7626,1.69,0.0,0.0,0,0,Community High School,22.03,2016,
2317,0,1.4,146,2.38,2.38,15.48,26.19,25239,3.57,1.19,0.0,0,0,Ivytech Charter School,64.29,2016,
