Year,CDS_CODE,COUNTY,DISTRICT,SCHOOL,Charter,Latitude,Longitude,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,(%)FRPM,American Indian or Alaska Native,Asian,Pacific Islander,Filipino,Hispanic or Latino,African American,White,Two or More Races,AvgScr
2014,10621661032507,Fresno,Fresno Unified,Fresno High,N,36.766028,-119.80420,481.0,247.0,16.0,17.0,17.0,17.0,37.0,14.98,87.85407725321889,0.006237006237006237,0.0893970893970894,0.006237006237006237,0.002079002079002079,0.6756756756756757,0.07484407484407485,0.13305613305613306,0.012474012474012475,16.75
2014,10621661032911,Fresno,Fresno Unified,Herbert Hoover High,N,36.817510,-119.77220,449.0,66.0,17.0,18.0,19.0,19.0,16.0,24.24,80.6998939554613,0.0066815144766146995,0.133630289532294,0.004454342984409799,0.0066815144766146995,0.5077951002227171,0.1091314031180401,0.22271714922049,0.008908685968819599,18.25
2014,10621661034214,Fresno,Fresno Unified,McLane High,N,36.775418,-119.75452,436.0,51.0,14.0,16.0,17.0,15.0,3.0,5.88,92.55596043727226,0.006880733944954129,0.25688073394495414,0.006880733944954129,0.0022935779816513763,0.6009174311926605,0.07339449541284404,0.04128440366972477,0.011467889908256881,15.5
2014,10621661035831,Fresno,Fresno Unified,Roosevelt High,N,36.743093,-119.75379,464.0,156.0,13.0,15.0,16.0,16.0,14.0,8.97,83.90107326178254,0.0021551724137931034,0.11853448275862069,0.0021551724137931034,0.0021551724137931034,0.7758620689655172,0.036637931034482756,0.05818965517241379,0.004310344827586207,15.0
2014,10622571033695,Fresno,Kingsburg Joint Union High,Kingsburg High,N,36.517915,-119.54780,246.0,53.0,21.0,22.0,22.0,22.0,32.0,60.38,35.52158273381295,0.008130081300813009,0.024390243902439025,0.0,0.0,0.5975609756097561,0.0040650406504065045,0.3333333333333333,0.032520325203252036,21.75
2014,10622650108092,Fresno,Kings Canyon Joint Unified,Orange Cove High,N,36.617653,-119.32274,129.0,21.0,14.0,16.0,17.0,16.0,2.0,9.52,89.68253968253968,0.0,0.0,0.0,0.0,0.9922480620155039,0.0,0.0,0.007751937984496124,15.75
2014,10622651035310,Fresno,Kings Canyon Joint Unified,Reedley High,N,36.600659,-119.45583,443.0,120.0,18.0,19.0,19.0,19.0,42.0,35.0,66.99947451392538,0.002257336343115124,0.024830699774266364,0.0,0.004514672686230248,0.7968397291196389,0.009029345372460496,0.15349887133182843,0.006772009029345372,18.75
2014,10623641034990,Fresno,Parlier Unified,Parlier High,N,36.614310,-119.52539,156.0,32.0,16.0,17.0,17.0,17.0,5.0,15.63,98.45758354755783,0.0,0.00641025641025641,0.0,0.0,0.9871794871794872,0.0,0.00641025641025641,0.0,16.75
2014,10624141036094,Fresno,Sanger Unified,Sanger High,N,36.720493,-119.57411,659.0,140.0,19.0,19.0,21.0,20.0,59.0,42.14,76.81318681318682,0.004552352048558422,0.11987860394537178,0.0015174506828528073,0.006069802731411229,0.7435508345978755,0.012139605462822459,0.11077389984825493,0.0015174506828528073,19.75
2014,10624301036672,Fresno,Selma Unified,Selma High,N,36.580899,-119.61520,383.0,46.0,19.0,20.0,20.0,20.0,22.0,47.83,83.69047619047619,0.005221932114882507,0.06005221932114883,0.0,0.007832898172323759,0.8407310704960835,0.013054830287206266,0.07049608355091384,0.0026109660574412533,19.75
2014,10738091030121,Fresno,Firebaugh-Las Deltas Unified,Firebaugh High,N,36.846874,-120.44691,159.0,82.0,15.0,16.0,17.0,17.0,13.0,15.85,90.12875536480686,0.0,0.0,0.0,0.0,0.9182389937106918,0.0,0.08176100628930817,0.0,16.25
2014,10739651030626,Fresno,Central Unified,Central High East Campus,N,36.787386,-119.88038,927.0,95.0,20.0,20.0,20.0,20.0,41.0,43.16,63.46107495782116,0.008629989212513484,0.16720604099244876,0.003236245954692557,0.017259978425026967,0.46817691477885653,0.0895361380798274,0.23624595469255663,0.008629989212513484,20.0
