cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
05100580530154,S,Mountain Oaks                                     ,Calaveras County Office of Education              ,Calaveras      ,60,2,*,*,*,*,*,*
05615560000000,D,                                                  ,Bret Harte Union High                             ,Calaveras      ,174,11,*,*,*,*,*,*
05615560532507,S,Bret Harte Union High                             ,Bret Harte Union High                             ,Calaveras      ,152,11,*,*,*,*,*,*
05615640000000,D,                                                  ,Calaveras Unified                                 ,Calaveras      ,258,47,22,23,23,23,35,74.47
05615640531509,S,Calaveras High                                    ,Calaveras Unified                                 ,Calaveras      ,236,47,22,23,23,23,35,74.47
06000000000000,C,                                                  ,                                                  ,Colusa         ,356,72,19,20,20,20,26,36.11
06615980000000,D,                                                  ,Colusa Unified                                    ,Colusa         ,110,22,18,21,20,20,8,36.36
06615980630046,S,Colusa Alternative Home                           ,Colusa Unified                                    ,Colusa         ,20,0,N/A,N/A,N/A,N/A,N/A,N/A
06615980631259,S,Colusa High                                       ,Colusa Unified                                    ,Colusa         ,80,22,18,21,20,20,8,36.36
06616060000000,D,                                                  ,Maxwell Unified                                   ,Colusa         ,30,2,*,*,*,*,*,*
06616060634758,S,Maxwell Sr High                                   ,Maxwell Unified                                   ,Colusa         ,30,2,*,*,*,*,*,*
06616140000000,D,                                                  ,Pierce Joint Unified                              ,Colusa         ,122,28,21,21,23,21,14,50.00
06616140635250,S,Pierce High                                       ,Pierce Joint Unified                              ,Colusa         ,113,28,21,21,23,21,14,50.00
06616220000000,D,                                                  ,Williams Unified                                  ,Colusa         ,92,20,18,17,17,17,2,10.00
06616220637504,S,Williams Junior/Senior High                       ,Williams Unified                                  ,Colusa         ,85,20,18,17,17,17,2,10.00
07000000000000,C,                                                  ,                                                  ,Contra Costa   ,13472,3777,24,25,24,24,2820,74.66
07100740000000,D,                                                  ,Contra Costa County Office of Education           ,Contra Costa   ,631,135,23,24,23,23,100,74.07
07100740114470,S,Making Waves Academy                              ,Contra Costa County Office of Education           ,Contra Costa   ,72,0,N/A,N/A,N/A,N/A,N/A,N/A
07100740731380,S,Clayton Valley Charter High                       ,Contra Costa County Office of Education           ,Contra Costa   ,465,135,23,24,23,23,100,74.07
07616300000000,D,                                                  ,Acalanes Union High                               ,Contra Costa   ,1319,627,27,28,27,26,574,91.55
07616300107524,S,Acalanes Center for Independent Study             ,Acalanes Union High                               ,Contra Costa   ,28,1,*,*,*,*,*,*
07616300730283,S,Acalanes High                                     ,Acalanes Union High                               ,Contra Costa   ,347,159,28,28,28,27,150,94.34
07616300731125,S,Campolindo High                                   ,Acalanes Union High                               ,Contra Costa   ,303,163,28,28,27,27,154,94.48
07616300733725,S,Las Lomas High                                    ,Acalanes Union High                               ,Contra Costa   ,359,160,26,27,26,25,143,89.38
07616300734244,S,Miramonte High                                    ,Acalanes Union High                               ,Contra Costa   ,275,144,28,28,28,27,127,88.19
07616480000000,D,                                                  ,Antioch Unified                                   ,Contra Costa   ,1580,235,20,21,20,20,108,45.96
07616480117218,S,Dozier-Libbey Medical High                        ,Antioch Unified                                   ,Contra Costa   ,139,65,22,23,22,22,42,64.62
07616480730259,S,Prospects High (Alternative)                      ,Antioch Unified                                   ,Contra Costa   ,178,0,N/A,N/A,N/A,N/A,N/A,N/A
07616480730465,S,Deer Valley High                                  ,Antioch Unified                                   ,Contra Costa   ,646,93,19,21,21,20,43,46.24
07616480730861,S,Antioch High                                      ,Antioch Unified                                   ,Contra Costa   ,343,77,18,20,18,19,23,29.87
07616630000000,D,                                                  ,Byron Union Elementary                            ,Contra Costa   ,60,0,N/A,N/A,N/A,N/A,N/A,N/A
07616630130930,S,Vista Oaks Charter                                ,Byron Union Elementary                            ,Contra Costa   ,60,0,N/A,N/A,N/A,N/A,N/A,N/A
07616970000000,D,                                                  ,John Swett Unified                                ,Contra Costa   ,151,6,*,*,*,*,*,*
07616970737023,S,John Swett High                                   ,John Swett Unified                                ,Contra Costa   ,135,6,*,*,*,*,*,*
07617210000000,D,                                                  ,Liberty Union High                                ,Contra Costa   ,2116,471,22,23,21,22,290,61.57
07617210107797,S,Heritage High                                     ,Liberty Union High                                ,Contra Costa   ,596,182,23,25,23,23,133,73.08
07617210730457,S,Freedom High                                      ,Liberty Union High                                ,Contra Costa   ,576,119,20,22,20,21,57,47.90
07617210730572,S,Independence High                                 ,Liberty Union High                                ,Contra Costa   ,209,2,*,*,*,*,*,*
07617210733980,S,Liberty High                                      ,Liberty Union High                                ,Contra Costa   ,630,167,21,22,21,22,99,59.28
07617210733998,S,La Paloma High (Continuation)                     ,Liberty Union High                                ,Contra Costa   ,96,1,*,*,*,*,*,*
07617390000000,D,                                                  ,Martinez Unified                                  ,Contra Costa   ,333,53,23,23,24,23,39,73.58
07617390730473,S,Briones (Alternative)                             ,Martinez Unified                                  ,Contra Costa   ,25,0,N/A,N/A,N/A,N/A,N/A,N/A
07617390730549,S,Alhambra Senior High                              ,Martinez Unified                                  ,Contra Costa   ,265,53,23,23,24,23,39,73.58
07617540000000,D,                                                  ,Mt. Diablo Unified                                ,Contra Costa   ,2030,463,25,26,25,24,370,79.91
07617540730044,S,Northgate High                                    ,Mt. Diablo Unified                                ,Contra Costa   ,382,263,26,26,26,25,222,84.41
07617540730317,S,Horizons School: Independent Study                ,Mt. Diablo Unified                                ,Contra Costa   ,44,2,*,*,*,*,*,*
07617540731646,S,College Park High                                 ,Mt. Diablo Unified                                ,Contra Costa   ,424,132,25,25,25,25,104,78.79
07617540731836,S,Concord High                                      ,Mt. Diablo Unified                                ,Contra Costa   ,315,39,24,25,23,23,25,64.10
07617540734566,S,Mt. Diablo High                                   ,Mt. Diablo Unified                                ,Contra Costa   ,280,0,N/A,N/A,N/A,N/A,N/A,N/A
07617540737809,S,Ygnacio Valley High                               ,Mt. Diablo Unified                                ,Contra Costa   ,201,27,22,24,22,22,17,62.96
07617880000000,D,                                                  ,Pittsburg Unified                                 ,Contra Costa   ,676,122,19,21,20,20,53,43.44
07617880735407,S,Pittsburg Senior High                             ,Pittsburg Unified                                 ,Contra Costa   ,559,122,19,21,20,20,53,43.44
07617960000000,D,                                                  ,West Contra Costa Unified                         ,Contra Costa   ,2170,431,18,19,19,19,147,34.11
07617960101477,S,Leadership Public Schools: Richmond               ,West Contra Costa Unified                         ,Contra Costa   ,115,94,14,15,17,16,8,8.51
07617960730291,S,Middle College High                               ,West Contra Costa Unified                         ,Contra Costa   ,62,22,23,23,24,22,15,68.18
07617960730325,S,Vista High (Alternative)                          ,West Contra Costa Unified                         ,Contra Costa   ,66,2,*,*,*,*,*,*
07617960730598,S,Hercules High                                     ,West Contra Costa Unified                         ,Contra Costa   ,247,52,22,22,22,21,32,61.54
07617960732164,S,De Anza High                                      ,West Contra Costa Unified                         ,Contra Costa   ,316,68,18,18,18,18,22,32.35
07617960732941,S,El Cerrito High                                   ,West Contra Costa Unified                         ,Contra Costa   ,328,78,21,21,22,20,43,55.13
07617960733659,S,John F. Kennedy High                              ,West Contra Costa Unified                         ,Contra Costa   ,175,16,16,17,17,17,3,18.75
07617960735316,S,Pinole Valley High                                ,West Contra Costa Unified                         ,Contra Costa   ,278,54,19,21,20,20,19,35.19
07617960735902,S,Richmond High                                     ,West Contra Costa Unified                         ,Contra Costa   ,343,45,14,14,16,16,4,8.89
07618040000000,D,                                                  ,San Ramon Valley Unified                          ,Contra Costa   ,2406,1234,27,27,27,26,1135,91.98
07618040113118,S,Dougherty Valley High                             ,San Ramon Valley Unified                          ,Contra Costa   ,596,263,29,29,30,28,251,95.44
07618040730051,S,California High                                   ,San Ramon Valley Unified                          ,Contra Costa   ,615,269,26,27,27,26,243,90.33
07618040730218,S,Venture (Alternative)                             ,San Ramon Valley Unified                          ,Contra Costa   ,61,5,*,*,*,*,*,*
07618040734368,S,Monte Vista High                                  ,San Ramon Valley Unified                          ,Contra Costa   ,599,358,27,27,27,26,332,92.74
07618040736504,S,San Ramon Valley High                             ,San Ramon Valley Unified                          ,Contra Costa   ,504,339,27,27,26,26,304,89.68
08000000000000,C,                                                  ,                                                  ,Del Norte      ,372,5,*,*,*,*,*,*
08100820000000,D,                                                  ,Del Norte County Office of Education              ,Del Norte      ,139,0,N/A,N/A,N/A,N/A,N/A,N/A
08100820830059,S,Castle Rock                                       ,Del Norte County Office of Education              ,Del Norte      ,120,0,N/A,N/A,N/A,N/A,N/A,N/A
08618200000000,D,                                                  ,Del Norte County Unified                          ,Del Norte      ,233,5,*,*,*,*,*,*
08618200833004,S,Del Norte High                                    ,Del Norte County Unified                          ,Del Norte      ,195,5,*,*,*,*,*,*
09000000000000,C,                                                  ,                                                  ,El Dorado      ,2238,670,24,25,25,24,544,81.19
09100900000000,D,                                                  ,El Dorado County Office of Education              ,El Dorado      ,147,5,*,*,*,*,*,*
09100900930123,S,Charter Community School Home Study Academy       ,El Dorado County Office of Education              ,El Dorado      ,95,5,*,*,*,*,*,*
09618530000000,D,                                                  ,El Dorado Union High                              ,El Dorado      ,1700,583,24,25,26,25,483,82.85
09618530101808,S,Mountain View High                                ,El Dorado Union High                              ,El Dorado      ,23,1,*,*,*,*,*,*
09618530930081,S,Oak Ridge High                                    ,El Dorado Union High                              ,El Dorado      ,559,260,26,26,27,26,235,90.38
09618530930164,S,Union Mine High                                   ,El Dorado Union High                              ,El Dorado      ,262,100,22,24,23,23,72,72.00
09618530930214,S,EDUHSD Virtual Academy at Shenandoah              ,El Dorado Union High                              ,El Dorado      ,23,0,N/A,N/A,N/A,N/A,N/A,N/A
09618530932756,S,El Dorado High                                    ,El Dorado Union High                              ,El Dorado      ,300,91,23,24,23,23,66,72.53
09618530936302,S,Ponderosa High                                    ,El Dorado Union High                              ,El Dorado      ,429,131,25,26,26,25,109,83.21
09619030000000,D,                                                  ,Lake Tahoe Unified                                ,El Dorado      ,289,68,22,23,23,22,45,66.18
