Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,S,Calabasas High,Las Virgenes Unified,Los Angeles,441,173,28.0,27.0,27.0,25.0,156,90.17
2014,D,,Lawndale Elementary,Los Angeles,130,12,18.0,21.0,21.0,20.0,5,41.67
2014,S,Environmental Charter High,Lawndale Elementary,Los Angeles,130,12,18.0,21.0,21.0,20.0,5,41.67
2014,D,,Lennox,Los Angeles,273,222,16.0,17.0,19.0,17.0,44,19.82
2014,S,"Lennox Mathematics, Science and Technolo",Lennox,Los Angeles,138,120,16.0,18.0,19.0,17.0,25,20.83
2014,S,Animo Leadership High,Lennox,Los Angeles,135,102,15.0,17.0,18.0,17.0,19,18.63
2014,D,,Long Beach Unified,Los Angeles,6867,1378,21.0,21.0,22.0,21.0,727,52.76
2014,S,Alliance Tennenbaum Family Technology Hi,Los Angeles Unified,Los Angeles,87,12,16.0,17.0,19.0,17.0,3,25.0
2014,S,Academy of Environmental & Social Policy,Los Angeles Unified,Los Angeles,93,36,14.0,15.0,16.0,16.0,2,5.56
2014,S,"Math, Science, & Technology Magnet Acade",Los Angeles Unified,Los Angeles,80,25,16.0,17.0,18.0,17.0,5,20.0
2014,S,East Los Angeles Performing Arts Academy,Los Angeles Unified,Los Angeles,107,41,14.0,16.0,16.0,15.0,2,4.88
2014,S,Social Justice Leadership Academy at Est,Los Angeles Unified,Los Angeles,90,30,14.0,15.0,17.0,15.0,2,6.67
2014,S,East Los Angeles Renaissance Academy at,Los Angeles Unified,Los Angeles,80,14,17.0,18.0,18.0,18.0,4,28.57
2014,S,Engineering and Technology Academy at Es,Los Angeles Unified,Los Angeles,93,14,14.0,17.0,19.0,17.0,1,7.14
2014,S,PUC Triumph Charter High,Los Angeles Unified,Los Angeles,78,32,15.0,15.0,17.0,15.0,1,3.13
2014,S,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,98,81,15.0,16.0,17.0,16.0,10,12.35
2014,S,Aspire Pacific Academy,Los Angeles Unified,Los Angeles,119,97,15.0,16.0,17.0,16.0,13,13.4
2014,S,Rise Kohyang Middle,Los Angeles Unified,Los Angeles,0,66,17.0,19.0,19.0,18.0,17,25.76
2014,S,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,195,30,19.0,20.0,20.0,19.0,11,36.67
2014,S,"Cesar E. Chavez Learning Academies-Arts,",Los Angeles Unified,Los Angeles,81,17,14.0,17.0,16.0,17.0,1,5.88
2014,S,Cesar E. Chavez Learning Academies-Socia,Los Angeles Unified,Los Angeles,92,50,17.0,17.0,18.0,17.0,12,24.0
2014,S,Los Angeles River at Sonia Sotomayor Lea,Los Angeles Unified,Los Angeles,62,11,14.0,17.0,16.0,16.0,0,0.0
2014,S,School of History and Dramatic Arts at S,Los Angeles Unified,Los Angeles,52,18,15.0,17.0,17.0,16.0,3,16.67
2014,S,Public Service Community at Diego Rivera,Los Angeles Unified,Los Angeles,66,12,15.0,16.0,17.0,17.0,3,25.0
2014,S,Green Design at Diego Rivera Learning Co,Los Angeles Unified,Los Angeles,64,12,14.0,16.0,17.0,16.0,1,8.33
2014,S,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,148,43,17.0,18.0,18.0,18.0,11,25.58
2014,S,Synergy Quantum Academy,Los Angeles Unified,Los Angeles,64,40,15.0,17.0,17.0,17.0,6,15.0
2014,S,Los Angeles Leadership Primary Academy,Los Angeles Unified,Los Angeles,0,38,14.0,15.0,16.0,15.0,1,2.63
2014,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,107,39,12.0,14.0,16.0,15.0,3,7.69
2014,S,Alliance Renee and Meyer Luskin Academy,Los Angeles Unified,Los Angeles,94,81,13.0,14.0,16.0,15.0,4,4.94
2014,S,PUC Early College Academy for Leaders an,Los Angeles Unified,Los Angeles,69,64,15.0,17.0,18.0,17.0,10,15.63
2014,S,STEM Academy of Hollywood,Los Angeles Unified,Los Angeles,57,17,16.0,16.0,18.0,17.0,3,17.65
2014,S,Augustus F. Hawkins High A Critical Desi,Los Angeles Unified,Los Angeles,48,39,10.0,13.0,15.0,14.0,0,0.0
2014,S,Augustus F. Hawkins High B Community Hea,Los Angeles Unified,Los Angeles,65,27,12.0,12.0,15.0,14.0,0,0.0
2014,S,Augustus F. Hawkins High C Responsible I,Los Angeles Unified,Los Angeles,54,20,12.0,15.0,15.0,14.0,0,0.0
2014,S,Marlton,Los Angeles Unified,Los Angeles,39,15,10.0,13.0,15.0,15.0,0,0.0
2014,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,187,125,18.0,19.0,20.0,18.0,43,34.4
2014,D,,Lynwood Unified,Los Angeles,1113,276,16.0,17.0,18.0,17.0,49,17.75
2014,S,Marco Antonio Firebaugh High,Lynwood Unified,Los Angeles,362,100,16.0,17.0,19.0,18.0,24,24.0
2014,S,Lynwood High,Lynwood Unified,Los Angeles,505,176,15.0,17.0,17.0,17.0,25,14.2
2014,D,,Monrovia Unified,Los Angeles,528,120,20.0,22.0,22.0,22.0,65,54.17
2014,S,Monrovia High,Monrovia Unified,Los Angeles,375,117,20.0,23.0,22.0,22.0,65,55.56
2014,D,,Montebello Unified,Los Angeles,2753,417,17.0,18.0,20.0,18.0,112,26.86
2014,S,Schurr High,Montebello Unified,Los Angeles,772,66,22.0,22.0,24.0,22.0,44,66.67
2014,S,Bell Gardens High,Montebello Unified,Los Angeles,788,224,16.0,17.0,18.0,18.0,36,16.07
2014,S,Montebello High,Montebello Unified,Los Angeles,853,127,17.0,18.0,20.0,18.0,32,25.2
2014,D,,Norwalk-La Mirada Unified,Los Angeles,1634,245,19.0,20.0,20.0,19.0,104,42.45
2014,S,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,370,54,17.0,17.0,19.0,18.0,9,16.67
2014,S,La Mirada High,Norwalk-La Mirada Unified,Los Angeles,506,87,21.0,22.0,22.0,21.0,55,63.22
2014,S,Norwalk High,Norwalk-La Mirada Unified,Los Angeles,501,104,18.0,19.0,20.0,18.0,40,38.46
2014,D,,Palos Verdes Peninsula Unified,Los Angeles,1132,512,28.0,27.0,28.0,26.0,467,91.21
2014,S,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,618,256,28.0,27.0,28.0,27.0,235,91.8
2014,S,Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,466,253,27.0,27.0,27.0,26.0,229,90.51
2014,D,,Paramount Unified,Los Angeles,1346,158,17.0,19.0,20.0,18.0,47,29.75
2014,S,Paramount High,Paramount Unified,Los Angeles,1112,158,17.0,19.0,20.0,18.0,47,29.75
2014,D,,Pasadena Unified,Los Angeles,1584,245,19.0,20.0,20.0,19.0,101,41.22
2014,S,Blair High,Pasadena Unified,Los Angeles,128,43,18.0,19.0,20.0,19.0,15,34.88
2014,S,Marshall Fundamental,Pasadena Unified,Los Angeles,244,60,22.0,22.0,21.0,22.0,34,56.67
2014,S,John Muir High,Pasadena Unified,Los Angeles,257,41,15.0,16.0,17.0,16.0,4,9.76
2014,S,Pasadena High,Pasadena Unified,Los Angeles,457,96,20.0,21.0,22.0,20.0,47,48.96
2014,D,,Pomona Unified,Los Angeles,2107,333,18.0,19.0,19.0,19.0,104,31.23
2014,S,Mark Keppel High,Alhambra Unified,Los Angeles,590,148,24.0,24.0,28.0,23.0,124,83.78
2014,S,San Gabriel High,Alhambra Unified,Los Angeles,586,223,21.0,21.0,24.0,22.0,136,60.99
2014,D,,SBE - Lifeline Education Chart,Los Angeles,38,15,13.0,15.0,15.0,13.0,1,6.67
2014,S,Lifeline Education Charter,SBE - Lifeline Education Chart,Los Angeles,38,15,13.0,15.0,15.0,13.0,1,6.67
2014,C,,,Madera,2331,378,18.0,19.0,20.0,19.0,138,36.51
2014,D,,Chowchilla Union High,Madera,242,37,18.0,20.0,20.0,19.0,13,35.14
2014,S,Chowchilla Union High,Chowchilla Union High,Madera,234,37,18.0,20.0,20.0,19.0,13,35.14
2014,D,,Madera Unified,Madera,1216,238,17.0,18.0,19.0,18.0,62,26.05
2014,S,Madera South High,Madera Unified,Madera,505,100,15.0,17.0,18.0,17.0,12,12.0
2014,S,Madera High,Madera Unified,Madera,490,138,18.0,19.0,20.0,19.0,50,36.23
2014,D,,Golden Valley Unified,Madera,153,15,21.0,23.0,21.0,22.0,8,53.33
2014,S,Liberty High,Golden Valley Unified,Madera,128,15,21.0,23.0,21.0,22.0,8,53.33
2014,D,,Chawanakee Unified,Madera,147,47,20.0,22.0,20.0,21.0,24,51.06
2014,S,Minarets High,Chawanakee Unified,Madera,86,36,20.0,22.0,21.0,21.0,20,55.56
2014,D,,Yosemite Unified,Madera,223,41,24.0,25.0,25.0,24.0,31,75.61
2014,S,Yosemite High,Yosemite Unified,Madera,172,39,24.0,25.0,25.0,24.0,29,74.36
2014,C,,,Marin,2218,792,26.0,26.0,26.0,24.0,649,81.94
2014,D,,Novato Unified,Marin,621,208,25.0,25.0,25.0,24.0,159,76.44
2014,S,Novato High,Novato Unified,Marin,337,131,25.0,26.0,25.0,24.0,102,77.86
2014,S,San Marin High,Novato Unified,Marin,205,76,24.0,25.0,24.0,23.0,56,73.68
2014,D,,San Rafael City High,Marin,496,108,24.0,24.0,24.0,23.0,82,75.93
2014,S,San Rafael High,San Rafael City High,Marin,235,42,24.0,24.0,25.0,23.0,31,73.81
2014,S,Terra Linda High,San Rafael City High,Marin,231,66,24.0,24.0,24.0,23.0,51,77.27
2014,D,,Tamalpais Union High,Marin,1009,458,27.0,27.0,26.0,25.0,400,87.34
2014,S,Tamiscal High (Alternative),Tamalpais Union High,Marin,27,14,29.0,30.0,26.0,25.0,13,92.86
2014,S,Sir Francis Drake High,Tamalpais Union High,Marin,234,98,27.0,27.0,26.0,25.0,88,89.8
2014,S,Redwood High,Tamalpais Union High,Marin,372,201,27.0,27.0,27.0,26.0,176,87.56
2014,S,Tamalpais High,Tamalpais Union High,Marin,330,144,26.0,27.0,26.0,25.0,122,84.72
2014,D,,Shoreline Unified,Marin,42,18,19.0,20.0,22.0,20.0,8,44.44
2014,D,,South Monterey County Joint Un,Monterey,474,37,18.0,19.0,19.0,18.0,11,29.73
2014,S,Greenfield High,South Monterey County Joint Un,Monterey,201,24,18.0,19.0,19.0,18.0,7,29.17
2014,S,King City High,South Monterey County Joint Un,Monterey,199,13,18.0,19.0,20.0,17.0,4,30.77
2014,D,,Monterey Peninsula Unified,Monterey,766,144,21.0,22.0,21.0,21.0,80,55.56
2014,S,Marina High,Monterey Peninsula Unified,Monterey,149,21,20.0,21.0,19.0,20.0,9,42.86
2014,S,Monterey High,Monterey Peninsula Unified,Monterey,271,82,23.0,25.0,23.0,23.0,61,74.39
2014,S,Seaside High,Monterey Peninsula Unified,Monterey,248,40,18.0,19.0,19.0,19.0,10,25.0
