cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
17640221735000,S,Lower Lake High                                   ,Konocti Unified                                   ,Lake           ,131,7,*,*,*,*,*,*,1314
17640300000000,D,                                                  ,Lakeport Unified                                  ,Lake           ,99,6,*,*,*,*,*,*,1314
17640301730142,S,Lakeport Alternative (Home School)                ,Lakeport Unified                                  ,Lake           ,4,0,NA,NA,NA,NA,NA,NA,1314
17640301732304,S,Clear Lake High                                   ,Lakeport Unified                                  ,Lake           ,83,6,*,*,*,*,*,*,1314
17640550000000,D,                                                  ,Middletown Unified                                ,Lake           ,124,5,*,*,*,*,*,*,1314
17640551736008,S,Middletown High                                   ,Middletown Unified                                ,Lake           ,115,5,*,*,*,*,*,*,1314
17640710000000,D,                                                  ,Upper Lake Union High                             ,Lake           ,85,19,20,21,19,19,8,42.11,1314
17640711737006,S,Upper Lake High                                   ,Upper Lake Union High                             ,Lake           ,73,19,20,21,19,19,8,42.11,1314
18000000000000,C,                                                  ,                                                  ,Lassen         ,399,28,22,23,23,22,18,64.29,1314
18101810000000,D,                                                  ,Lassen County Office of Educat                    ,Lassen         ,7,0,NA,NA,NA,NA,NA,NA,1314
18640890000000,D,                                                  ,Big Valley Joint Unified                          ,Lassen         ,18,2,*,*,*,*,*,*,1314
18640891831601,S,Big Valley Jr. Sr. High                           ,Big Valley Joint Unified                          ,Lassen         ,18,2,*,*,*,*,*,*,1314
18641390000000,D,                                                  ,Lassen Union High                                 ,Lassen         ,228,25,22,23,23,22,17,68,1314
18641391833805,S,Lassen High                                       ,Lassen Union High                                 ,Lassen         ,215,25,22,23,23,22,17,68,1314
18641620000000,D,                                                  ,Ravendale-Termo Elementary                        ,Lassen         ,74,1,*,*,*,*,*,*,1314
18641620118067,S,Juniper Ridge Virtual Academy Charter             ,Ravendale-Termo Elementary                        ,Lassen         ,7,0,NA,NA,NA,NA,NA,NA,1314
18641620120287,S,New Day Academy                                   ,Ravendale-Termo Elementary                        ,Lassen         ,16,0,NA,NA,NA,NA,NA,NA,1314
18641626010763,S,Long Valley Charter                               ,Ravendale-Termo Elementary                        ,Lassen         ,51,1,*,*,*,*,*,*,1314
18642040000000,D,                                                  ,Westwood Unified                                  ,Lassen         ,50,0,NA,NA,NA,NA,NA,NA,1314
19645191932664,S,El Monte High                                     ,El Monte Union High                               ,Los Angeles    ,476,158,17,18,20,18,50,31.65,1314
19645191932680,S,Mountain View High                                ,El Monte Union High                               ,Los Angeles    ,377,94,18,18,20,17,28,29.79,1314
19645191937481,S,Rosemead High                                     ,El Monte Union High                               ,Los Angeles    ,437,124,22,22,24,21,77,62.1,1314
19645191995661,S,South El Monte High                               ,El Monte Union High                               ,Los Angeles    ,353,126,18,19,20,18,40,31.75,1314
19645270000000,D,                                                  ,El Rancho Unified                                 ,Los Angeles    ,798,187,17,18,19,18,53,28.34,1314
19645271932706,S,El Rancho High                                    ,El Rancho Unified                                 ,Los Angeles    ,662,187,17,18,19,18,53,28.34,1314
